Ниша;Контур;Причина таксономии;Риск вариантов;Риск таксономии;Вердикт воронки;Выручка 30 дней, ₽;Продажи 30 дней, шт;Средний чек, ₽;Активные продавцы;Выручка на активного продавца, ₽;Доля штук Q2/Q1, x;Доля выручки Q2/Q1, x;Положительных шагов, штуки;Положительных шагов, выручка;Entry lift Sep-Oct / Jul-Aug 2025, x;Осенний индекс 2025, x;FBO доля выручки, %;Комиссия FBO MPStats, %;Комиссия FBS MPStats, %;Выкуп после возвратов, %;Оборот, дней;Замороженный остаток, %;Карточек с продажами, %;Продавцов с продажами, %;Demand gate;Autumn gate;Operations gate;Аномалии
Красота / Ополаскиватели и освежители для рта;COSMETIC_ORAL_P2;"finished oral-care cosmetic; formula and SGR route must be checked";low;medium;NO_CURRENT_SIGNAL;165211499.0;276345.0;597.85;1291;127971.73;0.8727;0.9059;1;3;0.5603;1.1006;41.68;32.5;36.0;94.12;275.0;89.52;11.33;19.68;0;1;0;
Красота / Тональные кремы;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;440139750.0;569472.0;772.89;3117;141206.21;0.8716;0.7888;2;1;1.2781;0.791;48.51;32.5;36.0;89.1;419.0;94.12;9.31;19.9;0;1;0;
Красота / Пудры;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;418715771.0;656800.0;637.51;3213;130319.26;0.8709;0.7856;2;1;0.9489;0.8101;59.95;32.5;36.0;89.96;240.0;90.98;9.57;23.43;0;1;0;
Красота / Сыворотки;COSMETIC_CORE;cosmetic formula subject;medium;high;NO_CURRENT_SIGNAL;1581916968.0;1478378.0;1070.04;6388;247638.85;0.8664;0.771;2;1;1.1011;0.7167;59.24;32.5;36.0;91.42;282.0;92.34;9.15;26.36;0;1;0;
Красота / BB-кремы;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;94496617.0;119159.0;793.03;1427;66220.47;0.8658;0.8293;2;1;1.2298;0.7946;47.6;32.5;36.0;91.41;393.0;93.14;8.01;18.41;0;1;0;
Красота / Запарки;COSMETIC_BATH_P2;"bath preparation; product-level formula verification required";low;high;NO_CURRENT_SIGNAL;7750122.0;9008.0;860.36;369;21003.04;0.865;0.7941;3;3;0.8216;1.1407;27.38;30.5;34.0;90.35;726.0;96.94;11.79;22.79;0;1;0;
Красота / Шампуни сухие;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;86404016.0;168796.0;511.88;795;108684.3;0.864;0.7371;2;0;1.1434;0.8821;62.57;32.5;36.0;94.9;176.0;85.1;7.58;15.08;0;1;0;
Красота / Средства для укрепления и роста ногтей;COSMETIC_NAIL_P2;cosmetic chemistry, but shade/SKU depth and professional-use risk;high;medium;NO_CURRENT_SIGNAL;39523587.0;85188.0;463.96;714;55355.16;0.863;0.7793;2;1;0.8108;0.8293;29.5;32.5;36.0;92.02;153.0;90.95;19.51;27.6;0;0;0;
Красота / Водоросли косметические;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;4038369.0;1881.0;2146.93;60;67306.15;0.8619;0.9898;3;1;1.2582;0.9124;24.57;32.5;36.0;87.5;614.0;97.02;7.91;21.47;0;1;0;
Красота / Краски для бровей и ресниц;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;145822912.0;247969.0;588.07;847;172164.0;0.8593;0.7634;3;2;1.1129;0.8342;72.63;32.5;36.0;90.59;125.0;77.89;18.37;19.07;0;1;0;
Красота / Флюиды;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;72286693.0;43378.0;1666.44;829;87197.46;0.8572;0.9485;2;2;1.1477;0.8466;30.43;32.5;36.0;84.52;521.0;96.24;13.26;23.7;0;1;0;
Красота / Акриловые пудры;COSMETIC_CORE;cosmetic formula subject;high;medium;NO_CURRENT_SIGNAL;16556870.0;13282.0;1246.56;203;81560.94;0.8545;0.9545;1;2;1.2877;0.6952;22.37;32.5;36.0;89.7;321.0;94.28;24.77;16.15;0;1;0;
Красота / Эмульсии;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;76262097.0;78621.0;970.0;910;83804.5;0.8536;0.9287;2;1;0.5765;1.0625;33.27;29.0;32.5;92.92;363.0;94.9;9.23;21.23;0;1;0;
Красота / Средства для снятия макияжа;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;186693715.0;248521.0;751.22;2010;92882.45;0.849;0.8043;2;0;1.0615;0.8375;38.24;32.5;36.0;94.13;108.0;79.42;15.15;21.98;0;1;0;
Красота / Эликсиры;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;15385893.0;12060.0;1275.78;378;40703.42;0.8454;0.7935;1;2;1.5942;0.8386;19.16;32.5;36.0;92.45;283.0;92.99;18.96;24.18;0;1;0;
Красота / Обезжириватели для ресниц и бровей;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;7484768.0;17335.0;431.77;124;60361.03;0.8417;0.7374;1;1;1.0566;1.004;87.33;32.5;36.0;91.88;103.0;72.32;20.48;22.04;0;1;0;
Красота / Воск для бровей;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;7795319.0;13297.0;586.25;199;39172.46;0.831;0.9258;1;1;1.5502;0.9529;59.19;32.5;36.0;92.25;2149.0;98.64;5.15;6.86;0;1;0;
Красота / Глиттеры;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;12237505.0;24212.0;505.43;409;29920.55;0.8259;0.731;1;1;1.6656;0.608;50.07;32.5;36.0;88.21;350.0;93.77;15.13;16.97;0;1;0;
Красота / Праймеры для тела;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;3816708.0;2640.0;1445.72;231;16522.55;0.8247;0.6764;2;1;1.6207;1.1268;5.09;32.5;36.0;75.0;7399.0;99.69;3.53;12.65;0;1;0;
Красота / Средства для ухода и заживления татуировок;COSMETIC_REGULATED_P2;"tattoo aftercare; cosmetic-versus-therapeutic claims require validation";low;high;NO_CURRENT_SIGNAL;18361344.0;24323.0;754.9;219;83841.75;0.822;0.7222;2;1;1.1005;0.7812;70.5;31.5;35.0;89.07;316.0;92.56;16.55;9.95;0;1;0;
Красота / Патчи для наращивания ресниц;COSMETIC_PRO_P2;"professional chemical product; safety/use validation required";medium;medium;NO_CURRENT_SIGNAL;15528921.0;34756.0;446.8;217;71561.85;0.8181;0.7039;1;1;1.0906;0.8928;77.53;30.0;33.5;95.03;451.0;96.51;9.8;14.43;0;1;0;
Красота / Туши;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;383392083.0;771187.0;497.15;3236;118477.16;0.8153;0.7088;2;1;1.2229;0.782;59.62;32.5;36.0;94.11;383.0;93.37;5.14;19.77;0;1;0;
Красота / Мыло для бани;COSMETIC_CORE;cosmetic formula subject;low;medium;NO_CURRENT_SIGNAL;55083843.0;66494.0;828.4;808;68173.07;0.8128;0.8171;3;3;1.1578;0.8467;39.1;32.5;36.0;95.94;2530.0;98.94;5.34;15.04;0;1;0;
Красота / Гель-лаки;COSMETIC_NAIL_P2;cosmetic chemistry, but shade/SKU depth and professional-use risk;high;medium;NO_CURRENT_SIGNAL;197650245.0;394766.0;500.68;1274;155141.48;0.8046;0.7172;2;2;1.6063;0.9182;36.93;32.5;36.0;88.5;154.0;89.57;18.64;29.34;0;1;0;
