"Название предмета";"Сезонность ниши";"Дата обнаружения";"Комиссия FBO";"Комиссия FBS";"Товары, шт.";"Количество новинок";"Товары с остатками, шт.";"% товаров с остатками";"Товары с движением, шт.";"% товаров с движением";"Товары с продажами, шт.";"% товаров с продажами";"% товаров с продажами от товаров с движением";"Бренды";"Бренды с продажами";"% брендов с продажами";"Продавцы";"Продавцы с продажами";"% продавцов с продажами";"Продажи, шт.";"Выручка, ₽";"Упущенная выручка, ₽";"Упущенная выручка %";"Потенциал, ₽";"Средний % выкупа";"Средний % выкупа с учётом возвратов";"Сумма выкупа, ₽";"Сумма выкупа с учётом возвратов, ₽";"Суммарные остатки, шт.";"Замороженный остаток, шт.";"Замороженный остаток в цене, ₽";"Замороженный остаток, %";"Оборачиваемость, дн.";"Минимальная цена, ₽";"Максимальная цена, ₽";"Средняя цена, ₽";"Медианная цена, ₽";"Минимальная цена с продажами, ₽";"Максимальная цена с продажами, ₽";"Средняя цена с продажами, ₽";"Медианная цена с продажами, ₽";"Средний рейтинг";"Средний рейтинг с продажами";"Средний дробный рейтинг";"Средний дробный рейтинг с продажами";"Количество кликов на карточку";"% добавления в корзину";"% оформления заказов"
"Спортивный товар / Кинезио тейпы";"1";"2020-01-25";"27,5";"31";"21122";"2284";"1283";"6,07";"1756";"8,31";"1327";"6,28";"75,57";"1259";"212";"16,84";"2483";"288";"11,6";"70555";"26680878";"4376795";"14,09";"31057673";"93,69";"93,62";"24997315";"24978638";"120894";"68166";"35145797";"56,38";"51";"0";"1000000";"1491,66";"501,5";"60";"10687";"577,75";"478";"4,75";"4,91";"4,64";"4,75";"54";"11,42";"30,29"
"Ручной инструмент и оснастка / Степлеры строительные";"1";"2020-01-25";"31,5";"35";"19164";"2435";"629";"3,28";"927";"4,84";"577";"3,01";"62,24";"653";"147";"22,51";"2730";"290";"10,62";"32409";"26669400";"3446550";"11,44";"30115950";"92,64";"92,02";"24706532";"24541182";"36079";"10883";"18424516";"30,16";"33";"0";"4300000";"4978,35";"1676";"79";"91500";"3071,92";"1303";"4,73";"4,81";"4,66";"4,69";"48";"7,44";"14,04"
"Посуда и инвентарь / Конфетницы";"2";"2020-01-25";"29,5";"33";"55172";"7846";"1025";"1,86";"1459";"2,64";"1151";"2,09";"78,89";"1708";"206";"12,06";"3888";"273";"7,02";"30268";"26667503";"13559863";"33,71";"40227366";"73,42";"72,84";"19579281";"19424609";"49806";"28661";"21935364";"57,55";"49";"0";"900000";"2356,34";"1380,5";"119";"17197";"1472,48";"1201";"4,74";"4,87";"4,67";"4,76";"42";"5,13";"6,6"
"Красота / Пинцеты";"1";"2020-01-25";"32,5";"36";"30250";"5576";"2010";"6,64";"2693";"8,9";"1753";"5,8";"65,09";"1760";"370";"21,02";"3532";"545";"15,43";"99753";"26573761";"5783191";"17,87";"32356952";"90,04";"89,97";"23927014";"23908413";"124086";"54266";"23221701";"43,73";"37";"0";"3778900";"1444,22";"493";"17";"4101";"386,18";"283";"4,6";"4,8";"4,51";"4,65";"55";"11,57";"30,16"
"Мебель корпусная и мебель для хранения / Комплекты корпусной мебели";"2";"2020-10-22";"26,5";"30";"14723";"1660";"122";"0,83";"226";"1,54";"160";"1,09";"70,8";"326";"43";"13,19";"549";"51";"9,29";"4861";"26559989";"16562312";"38,41";"43122301";"87,92";"86,58";"23351542";"22995638";"7353";"3923";"14523862";"53,35";"45";"0";"296400";"27947,76";"20766,5";"64";"49781";"14160,23";"10437";"4,71";"4,8";"4,66";"4,67";"229";"3,53";"3,28"
"Красота / Пинцеты для наращивания ресниц";"1";"2020-01-25";"32,5";"36";"17483";"3139";"2688";"15,37";"3332";"19,06";"2268";"12,97";"68,07";"471";"152";"32,27";"1265";"212";"16,76";"36730";"26526811";"4931485";"15,68";"31458296";"77,66";"77,42";"20600721";"20537057";"60322";"27351";"21145105";"45,34";"49";"0";"1680000";"1908,41";"736";"96";"17337";"825,45";"641";"4,54";"4,66";"4,46";"4,56";"15";"8,59";"17,06"
"Спортивный товар / Ледоступы";"3";"2020-01-25";"27,5";"31";"22159";"6757";"1105";"4,99";"1916";"8,65";"1358";"6,13";"70,88";"1513";"360";"23,79";"2823";"556";"19,7";"94883";"26492678";"3121815";"10,54";"29614493";"87,76";"87,1";"23249974";"23075123";"53957";"17495";"5488483";"32,42";"17";"0";"357504";"627,02";"417";"27";"4286";"346,68";"290";"4,55";"4,77";"4,45";"4,61";"39";"7,76";"25,15"
"Игрушки / Каталки";"1";"2020-01-25";"28,5";"32";"34071";"2769";"984";"2,89";"1419";"4,16";"884";"2,59";"62,3";"1518";"190";"12,52";"2950";"253";"8,58";"19304";"26458332";"8482538";"24,28";"34940870";"86,66";"85,83";"22928791";"22709186";"27662";"13750";"18290085";"49,71";"43";"0";"900000";"3287,28";"1934";"119";"30621";"2123,49";"1277";"4,52";"4,76";"4,45";"4,64";"43";"5,89";"12,52"
"Товары для малышей / Прорезыватели";"1";"2020-01-25";"26,5";"30";"68922";"9510";"1875";"2,72";"2553";"3,7";"1812";"2,63";"70,98";"1452";"275";"18,94";"3609";"369";"10,22";"78444";"26331606";"5082659";"16,18";"31414265";"91,43";"91,39";"24074987";"24064455";"123906";"55074";"19633974";"44,45";"47";"0";"1000000";"1326,39";"664";"36";"9885";"477,32";"325";"4,85";"4,93";"4,79";"4,83";"42";"9,04";"21,64"
"Строительные материалы / Штукатурка";"1";"2020-01-25";"28";"31,5";"8707";"690";"240";"2,76";"280";"3,22";"235";"2,7";"83,93";"383";"41";"10,7";"591";"49";"8,29";"11661";"26327502";"560770";"2,09";"26888272";"79,96";"79,52";"21051471";"20935630";"10991";"2323";"8191895";"21,14";"28";"0";"320000";"3102,44";"2007";"289";"17487";"2510,11";"2016";"4,72";"4,97";"4,65";"4,84";"50";"5,29";"12,7"
